"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered","Hour (yesterday)","Orders (yesterday)","Total sales (yesterday)","Net sales (yesterday)","Quantity ordered (yesterday)","Orders (yesterday) ","Total sales (yesterday) ","Net sales (yesterday) ","Quantity ordered (yesterday) "
"2026-08-28 00:00:00","#2145440",1,3118,2969.52,4,"2026-08-27 00:00:00",0,0,0,0,,,,
"2026-08-28 00:00:00","#2142677",0,0,0,0,"2026-08-27 00:00:00",1,1717,1522.86,1,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145498",1,792,754.29,1,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145493",1,1499,1427.62,1,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145510",1,2998,2855.24,5,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145477",1,2889,2751.43,6,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145506",1,2999,2856.19,3,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145469",1,1817,1618.1,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145490",1,2335,2223.81,3,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2142761",0,0,0,0,"2026-08-27 01:00:00",1,1499,1427.62,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142751",0,0,0,0,"2026-08-27 01:00:00",1,1617,1427.62,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142769",0,0,0,0,"2026-08-27 01:00:00",1,2940,2800,3,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142759",0,0,0,0,"2026-08-27 01:00:00",1,1599,1522.86,1,-100,-100,-100,-100
"2026-08-28 01:00:00","#2142747",0,0,0,0,"2026-08-27 01:00:00",1,2249,2141.9,2,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145509",1,2549,2427.62,2,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145478",1,1833,1745.71,3,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145481",1,249,237.14,1,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145489",1,2947,2806.67,6,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2142734",0,0,0,0,"2026-08-27 01:00:00",1,2998,2855.24,6,-100,-100,-100,-100
"2026-08-28 01:00:00","#2145497",1,4198,3998.1,6,"2026-08-27 01:00:00",0,0,0,0,,,,
"2026-08-28 01:00:00","#2145470",1,1499,1427.62,1,"2026-08-27 01:00:00",0,0,0,0,,,,
