"Hour","Order name","Orders","Total sales","Net sales","Quantity ordered"
"2026-08-27 08:00:00","#2142922",1,1499,1427.62,1
"2026-08-27 08:00:00","#2142912",1,1549,1475.24,1
"2026-08-27 08:00:00","#2142883",1,1817,1618.1,2
"2026-08-27 08:00:00","#2142941",1,1794,1678.9,3
"2026-08-27 08:00:00","#2142949",1,1699,1618.1,2
"2026-08-27 08:00:00","#2142895",1,4797,4568.57,6
"2026-08-27 08:00:00","#2142967",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142957",1,1799,1713.33,1
"2026-08-27 08:00:00","#2142935",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142905",1,1617,1427.62,2
"2026-08-27 08:00:00","#2142923",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142958",1,1277.1,1216.29,1
"2026-08-27 08:00:00","#2142884",1,1898,1807.62,4
"2026-08-27 08:00:00","#2142946",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142892",1,1399,1332.38,2
"2026-08-27 08:00:00","#2142950",1,1820,1733.33,2
"2026-08-27 08:00:00","#2142960",1,2069,1970.48,2
"2026-08-27 08:00:00","#2142902",1,1617,1427.62,1
"2026-08-27 08:00:00","#2142932",1,1387,1320.95,1
"2026-08-27 08:00:00","#2142924",1,2198,2093.33,4
"2026-08-27 08:00:00","#2142914",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142943",1,1499,1427.62,1
"2026-08-27 08:00:00","#2142881",1,1717,1522.86,1
"2026-08-27 08:00:00","#2142955",1,1717,1522.86,1
"2026-08-27 08:00:00","#2142889",1,1499,1427.62,1
"2026-08-27 08:00:00","#2142965",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142897",1,1504,1432.38,1
"2026-08-27 08:00:00","#2142929",1,2490,2371.43,4
"2026-08-27 08:00:00","#2142919",1,1699,1618.1,1
"2026-08-27 08:00:00","#2142907",1,1369,1303.81,1
"2026-08-27 08:00:00","#2142937",1,1399,1332.38,2
"2026-08-27 08:00:00","#2142921",1,1817,1618.1,2
"2026-08-27 08:00:00","#2142911",1,1499,1427.62,1
"2026-08-27 08:00:00","#2142944",1,2998,2855.24,5
"2026-08-27 08:00:00","#2142898",1,1599,1522.86,1
"2026-08-27 08:00:00","#2142886",1,1599,1522.86,1
"2026-08-27 08:00:00","#2142962",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142952",1,2697,2568.57,5
"2026-08-27 08:00:00","#2142890",1,1699,1618.1,2
"2026-08-27 08:00:00","#2142930",1,1882,1792.38,2
"2026-08-27 08:00:00","#2142900",1,1499,1427.62,1
"2026-08-27 08:00:00","#2142938",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142908",1,1699,1618.1,2
"2026-08-27 08:00:00","#2142916",1,2998,2855.24,5
"2026-08-27 08:00:00","#2142926",1,1897,1806.66,5
"2026-08-27 08:00:00","#2142899",1,1817,1618.1,2
"2026-08-27 08:00:00","#2142945",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142887",1,2048,1950.48,3
"2026-08-27 08:00:00","#2142953",1,1699,1618.1,2
"2026-08-27 08:00:00","#2142963",1,3160,2677.96,3
"2026-08-27 08:00:00","#2142891",1,1717,1522.86,1
"2026-08-27 08:00:00","#2142901",1,1617,1427.62,1
"2026-08-27 08:00:00","#2142931",1,2249,2141.9,2
"2026-08-27 08:00:00","#2142909",1,899,856.19,1
"2026-08-27 08:00:00","#2142939",1,1717,1522.86,1
"2026-08-27 08:00:00","#2142927",1,1399,1332.38,1
"2026-08-27 08:00:00","#2142917",1,842.35,802.24,1
"2026-08-27 08:00:00","#2142942",1,1599,1522.86,1
"2026-08-27 08:00:00","#2142880",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142888",1,1499,1427.62,2
"2026-08-27 08:00:00","#2142964",1,1599,1522.86,1
"2026-08-27 08:00:00","#2142954",1,1998,1902.86,3
"2026-08-27 08:00:00","#2142918",1,3048,2902.86,4
"2026-08-27 08:00:00","#2142936",1,1519,1446.67,1
"2026-08-27 08:00:00","#2142906",1,1867,1665.71,1
"2026-08-27 08:00:00","#2142910",1,1817,1618.1,2
"2026-08-27 08:00:00","#2142920",1,4497,4282.86,8
"2026-08-27 09:00:00","#2142981",1,1684,1603.81,1
"2026-08-27 09:00:00","#2143030",1,1848,1760,3
"2026-08-27 09:00:00","#2143000",1,1225,1166.66,1
"2026-08-27 09:00:00","#2142978",1,1717,1522.86,1
"2026-08-27 09:00:00","#2143103",1,1499,1427.62,2
"2026-08-27 09:00:00","#2142970",1,1499,1427.62,2
